Task No                         Purpose                 Status                    Description

Task 1                    Improve Performance          Done                     (main.py) has variable 'q' that is being initialised new object of Question Class(datahandle.py) everytime new question is needed. Class news a method to update the question.

Task 2                    Gameplay Experience          Pending                  (audio) Needs new and better audio for all purposes. background music, SFX. etc

Task 3                    Fix Gameplay                 Done                     (main.py) the player is being allowed to out of screen which shouldn't be allowed

task 4                    Fix GAME                     Done                     (main.py) The question is not being updated in the 'Game' Screen and 'Defeat' Screen is broken.

Task 5                    Improve Game Quality         Pending                  (main.py) Currently the player is just an rectangluar blob, needs some design.

Task 6                    Better Graphics              Eh ....                  (display_elements.py & imp) Needs better graphics for 'Victory' & 'Defeat' Screens.

Task 7                    More Gameplay                Pending                  (datahandle.py % data json files) Add data json files to the game.

Task 8                    Improve Gameplay             Done                     (datahandle.py & data json files) shuffle the data so that every start/run has different question patterns.

Task 9                    Extend Gameplay              Pending                  (datahandle.py) Add webscraping such that it can scrap questions from web to kind of 'refresh' its question data.
                                                                                could be done by using AI to create such simplier questions for every run or setting up an specific URL to continously post data.

Task 10                   Improve Code quality         Pending                  (UI folder) remove assertions in the class function
